,city,lngs,lats,max_temp,humidity,cloudiness,wind_speed
106,Ambunti,142.84,-4.24,88.16,67.0,79.0,1.86
107,Tarauacá,-70.77,-8.16,74.14,95.0,100.0,5.14
108,Christchurch,172.63,-43.53,69.8,30.0,0.0,6.93
109,Yumen,97.2,40.28,55.51,44.0,0.0,2.57
110,Kasongo-Lunda,16.82,-6.47,72.46,85.0,100.0,1.54
112,Dunedin,170.5,-45.87,60.01,48.0,100.0,13.0
113,Arraial do Cabo,-42.03,-22.97,71.6,94.0,75.0,13.87
114,Bengkulu,102.27,-3.8,78.64,80.0,100.0,4.59
115,Mahébourg,57.7,-20.41,69.8,73.0,40.0,12.75
116,Hokitika,170.97,-42.72,55.42,76.0,92.0,7.83
117,Faanui,-151.75,-16.48,78.64,78.0,0.0,20.09
118,Qaqortoq,-46.03,60.72,35.6,69.0,100.0,3.36
119,Calama,-68.93,-22.47,59.0,14.0,0.0,9.17
120,Havelock,-76.9,34.88,63.0,59.0,1.0,11.41
121,Tommot,126.29,58.96,53.53,48.0,0.0,2.77
122,Tuatapere,167.68,-46.13,63.0,54.0,100.0,18.01
123,Isabela,121.97,6.71,84.2,74.0,75.0,2.24
124,Poum,164.02,-20.23,73.67,63.0,0.0,5.68
125,Chokurdakh,147.92,70.63,44.31,63.0,100.0,10.2
126,Tatuí,-47.86,-23.36,64.0,68.0,100.0,5.01
127,Saint-Philippe,55.77,-21.36,68.0,60.0,40.0,8.05
128,Roald,6.13,62.58,46.4,93.0,100.0,6.93
129,Geraldton,114.6,-28.77,60.8,63.0,0.0,12.75
130,Meulaboh,96.13,4.14,80.31,79.0,98.0,3.6
132,Broken Hill,141.43,-31.95,59.0,58.0,40.0,20.8
133,Katsuura,140.3,35.13,75.99,69.0,83.0,5.99
134,Touros,-35.46,-5.2,77.0,78.0,20.0,11.41
135,Cape Town,18.42,-33.93,53.01,81.0,0.0,8.05
136,Ushtobe,77.98,45.25,54.66,41.0,98.0,3.29
137,Taree,152.47,-31.9,82.4,51.0,40.0,6.93
138,Orapa,25.37,-21.28,72.1,32.0,0.0,25.37
140,Lebu,-73.65,-37.62,48.67,85.0,81.0,14.25
141,Lufilufi,-171.6,-13.87,82.4,83.0,75.0,8.05
142,Bluff,168.33,-46.6,63.0,54.0,88.0,18.01
143,Kharan,65.42,28.58,71.31,20.0,0.0,5.44
144,College,-147.8,64.86,55.4,47.0,40.0,3.36
145,Mindelo,-24.98,16.89,80.6,83.0,20.0,1.12
146,Beyneu,55.2,45.32,45.18,64.0,0.0,5.39
147,Altamira,-52.21,-3.2,77.95,75.0,69.0,2.91
148,Kavaratti,72.64,10.57,82.17,77.0,57.0,25.5
149,Caucayá,-74.78,-0.19,77.9,68.0,0.0,0.76
150,Vardø,31.11,70.37,45.01,80.0,49.0,9.53
151,Davila,120.58,18.47,80.6,83.0,75.0,2.24
152,Taveta,37.67,-3.4,62.6,88.0,20.0,3.18
154,Söderhamn,17.06,61.3,55.99,73.0,100.0,4.0
155,Romilly-sur-Seine,3.73,48.51,57.2,71.0,0.0,1.1
156,Middelburg,29.46,-25.78,53.51,74.0,17.0,20.58
157,Tateyama,139.87,34.98,73.99,83.0,75.0,18.34
159,Tocopilla,-70.2,-22.09,62.28,58.0,2.0,8.61
160,Sitka,-135.33,57.05,53.6,87.0,75.0,5.26
161,Montepuez,39.0,-13.13,63.28,98.0,2.0,2.77
162,Ubari,12.78,26.59,72.99,32.0,0.0,6.62
163,Pevek,170.31,69.7,38.34,78.0,75.0,9.73
164,Zhigansk,123.37,66.77,48.22,64.0,0.0,5.26
165,Quilmaná,-76.38,-12.95,62.11,74.0,69.0,3.36
166,Rājgurunagar,73.9,18.87,72.68,92.0,100.0,7.0
167,Ilulissat,-51.1,69.22,30.2,68.0,97.0,9.17
168,Penzance,-5.54,50.12,57.2,82.0,0.0,5.82
170,Pimenta Bueno,-61.19,-11.67,74.55,87.0,93.0,5.3
171,Khani,42.96,41.96,62.6,88.0,22.0,8.05
172,Vanimo,141.3,-2.67,86.11,61.0,27.0,6.73
173,Orlovskiy,42.06,46.87,49.23,46.0,0.0,4.9
174,Krasnoarmeysk,45.7,51.02,53.01,49.0,100.0,5.99
176,Schwelm,7.28,51.28,60.01,76.0,0.0,5.82
177,Charlottetown,-63.13,46.24,46.99,81.0,75.0,2.24
178,Alta Floresta,-56.09,-9.88,71.71,93.0,97.0,1.68
179,Samarinda,117.15,-0.5,79.32,89.0,100.0,3.06
180,Tezu,96.17,27.92,75.61,87.0,100.0,1.72
181,Nanortalik,-45.24,60.14,37.69,79.0,98.0,6.78
182,Vestmannaeyjar,-20.27,63.44,43.84,62.0,91.0,22.86
183,Iqaluit,-68.51,63.75,32.0,93.0,20.0,6.93
184,Ushibukamachi,130.02,32.19,73.94,57.0,0.0,9.42
185,Yar-Sale,70.83,66.83,39.63,82.0,100.0,11.16
186,Poprad,20.3,49.06,41.0,93.0,0.0,2.24
187,Sawākin,37.33,19.11,86.11,64.0,0.0,3.85
188,Komatipoort,31.95,-25.43,62.01,69.0,100.0,9.84
189,Boa Vista,-60.67,2.82,86.0,62.0,20.0,4.7
190,Atasū,71.64,48.68,41.05,75.0,0.0,10.22
191,San Patricio,-104.7,19.22,82.4,74.0,75.0,1.95
192,Argayash,60.88,55.49,41.0,86.0,75.0,6.71
193,George Town,100.34,5.41,77.0,94.0,20.0,4.7
194,Novogurovskiy,37.34,54.47,51.8,93.0,100.0,6.71
195,Kruisfontein,24.73,-34.0,46.45,85.0,0.0,5.48
197,Mulegé,-111.98,26.88,91.02,47.0,0.0,5.61
199,Vostok,135.88,46.49,58.84,65.0,1.0,0.87
200,Rocha,-54.33,-34.48,38.23,85.0,0.0,1.88
201,Cairns,145.77,-16.92,84.0,65.0,90.0,13.87
202,Barrow,-156.79,71.29,37.4,93.0,90.0,12.75
203,Bani Walid,13.99,31.76,74.16,53.0,0.0,6.31
204,San Lucas,-92.72,16.6,78.8,74.0,75.0,11.41
205,Ostrovnoy,39.51,68.05,43.5,79.0,17.0,25.81
206,Talara,-81.27,-4.58,62.74,90.0,90.0,11.79
207,Santa Rosalía,-112.28,27.32,86.49,62.0,65.0,5.28
209,Vila Velha,-40.29,-20.33,75.2,83.0,40.0,10.29
210,Rio Grande,-52.1,-32.03,49.37,74.0,0.0,7.92
211,Fairbanks,-147.72,64.84,55.4,50.0,40.0,1.66
212,Diapaga,1.79,12.07,74.12,92.0,0.0,6.06
213,Shaowu,117.48,27.34,72.19,87.0,100.0,2.71
214,Codrington,141.97,-38.27,53.83,82.0,100.0,21.3
215,Ulcinj,19.22,41.93,69.8,64.0,40.0,5.82
216,Jieshi,115.83,22.81,82.99,78.0,100.0,14.34
217,Ixtapa,-105.2,20.7,77.0,94.0,90.0,4.7
218,Contamana,-75.02,-7.33,75.79,86.0,100.0,1.16
219,Waddān,16.14,29.16,69.24,67.0,0.0,5.86
220,Tasiilaq,-37.64,65.61,30.2,86.0,100.0,8.05
221,Tabou,-7.35,4.42,75.99,89.0,100.0,8.95
222,Souillac,57.52,-20.52,69.8,73.0,40.0,12.75
223,Makokou,12.86,0.57,68.68,97.0,79.0,2.57
224,Longyearbyen,15.64,78.22,37.4,89.0,75.0,16.11
225,Los Llanos de Aridane,-17.92,28.66,73.99,83.0,17.0,6.93
226,Tshane,21.87,-24.02,58.14,29.0,4.0,11.9
227,Pangnirtung,-65.71,66.15,32.67,87.0,0.0,1.92
228,Iranshahr,60.68,27.2,75.2,9.0,0.0,9.17
230,Merauke,140.33,-8.47,83.23,66.0,37.0,12.24
231,Margate,1.39,51.38,62.01,58.0,0.0,3.15
234,Örnsköldsvik,18.72,63.29,48.2,81.0,100.0,9.17
235,Raymondville,-97.78,26.48,78.8,73.0,75.0,4.7
236,Villanueva,-88.0,15.32,78.8,88.0,40.0,5.82
238,Yulara,130.99,-25.24,66.2,24.0,0.0,14.99
239,Turukhansk,87.98,65.82,53.85,76.0,100.0,19.42
240,Atar,-13.05,20.52,89.22,37.0,10.0,3.29
241,Olinda,-34.86,-8.01,78.8,74.0,40.0,10.29
242,Itarema,-39.92,-2.92,76.66,79.0,1.0,13.58
244,Ponta do Sol,-17.1,32.67,71.6,73.0,20.0,5.82
245,Tilichiki,166.1,60.47,43.48,63.0,0.0,5.46
246,Flinders,150.86,-34.58,73.99,32.0,0.0,14.0
247,San Andrés,-81.7,12.58,84.2,79.0,75.0,5.82
248,Luanda,13.23,-8.84,69.8,88.0,20.0,2.24
249,Yerbogachën,108.01,61.28,43.99,77.0,38.0,3.27
250,Provideniya,-173.3,64.38,46.4,52.0,84.0,2.24
251,Hope Mills,-78.95,34.97,61.0,71.0,75.0,4.7
252,Chazuta,-76.14,-6.57,76.64,77.0,91.0,1.5
254,Udayagiri,84.38,20.13,70.77,99.0,93.0,2.08
255,Goundam,-3.67,16.41,85.86,53.0,100.0,16.22
257,Butaritari,172.79,3.07,83.3,76.0,1.0,14.2
258,Castro,-50.01,-24.79,54.23,87.0,100.0,11.39
259,Tsimmerbude,20.13,54.67,50.0,87.0,0.0,4.47
260,East London,27.91,-33.02,56.97,70.0,4.0,7.29
261,Thompson,-97.86,55.74,48.2,93.0,90.0,17.22
262,Upernavik,-56.15,72.79,28.87,85.0,93.0,3.56
263,Leshukonskoye,45.76,64.9,42.84,94.0,100.0,13.53
264,Chapais,-74.85,49.78,50.0,81.0,1.0,6.93
265,Dingle,122.67,11.0,83.26,73.0,85.0,3.4
266,Khāsh,61.22,28.22,53.6,38.0,0.0,3.18
267,Bathsheba,-59.52,13.22,82.4,78.0,20.0,8.05
268,Port Elizabeth,25.57,-33.92,50.0,87.0,0.0,8.05
269,Cap Malheureux,57.61,-19.98,70.0,67.0,26.0,5.01
270,Praia da Vitória,-27.07,38.73,68.0,82.0,20.0,13.69
271,Manokwari,134.08,-0.87,82.89,73.0,0.0,4.52
272,Tarko-Sale,77.78,64.92,46.99,89.0,0.0,3.0
273,Bud,-86.18,39.45,62.6,48.0,1.0,4.63
274,Tynda,124.72,55.17,49.82,66.0,99.0,2.86
275,Barra Patuca,-84.28,15.8,82.06,76.0,6.0,5.75
276,Kiryat Gat,34.76,31.61,75.99,75.0,0.0,5.68
277,Chui,-53.46,-33.7,43.52,81.0,0.0,6.62
278,Jinxiang,115.7,22.86,82.99,79.0,100.0,12.06
279,Tessalit,1.01,20.2,88.66,14.0,0.0,11.56
280,Nabire,135.48,-3.37,86.16,64.0,100.0,2.48
281,Torbay,-52.73,47.67,46.4,65.0,40.0,11.41
282,Bethel,-73.41,41.37,50.0,70.0,1.0,5.82
283,Santa Fe,-60.7,-31.63,60.01,34.0,0.0,1.01
284,Jalu,21.55,29.03,70.11,61.0,0.0,9.35
285,Ormara,64.64,25.21,85.91,41.0,0.0,7.61
286,Mago,140.18,53.25,56.19,58.0,0.0,4.68
287,Dikson,80.55,73.51,46.92,89.0,100.0,30.78
288,Dārāb,54.54,28.75,71.94,19.0,0.0,10.36
289,Belaya Gora,146.42,68.53,44.73,59.0,0.0,3.33
290,Ancud,-73.82,-41.87,48.0,95.0,98.0,5.01
291,Byron Bay,153.62,-28.65,84.99,65.0,45.0,16.11
292,Muisne,-80.03,0.6,74.05,83.0,100.0,8.28
293,Longyan,117.02,25.11,79.23,75.0,100.0,2.17
294,Cidreira,-50.21,-30.18,52.54,72.0,0.0,8.14
295,Kulhudhuffushi,73.07,6.62,81.82,76.0,100.0,18.21
296,Meridian,-116.39,43.61,87.8,17.0,1.0,4.7
297,The Pas,-101.25,53.83,62.6,59.0,1.0,11.41
298,Naze,129.48,28.37,80.6,83.0,75.0,23.04
299,Hancheng,112.35,32.52,60.89,93.0,100.0,7.76
300,Asău,26.4,46.43,52.0,81.0,1.0,2.64
301,Rocky Mountain House,-114.92,52.37,55.02,74.0,100.0,5.68
302,Qingquan,115.26,30.45,61.75,93.0,100.0,2.3
303,Hofn,-15.21,64.25,41.32,65.0,0.0,9.78
304,Port Blair,92.75,11.67,82.15,82.0,99.0,9.66
305,Quatre Cocos,57.76,-20.21,70.0,73.0,40.0,12.75
306,Valparaíso,-71.63,-33.04,55.0,93.0,90.0,8.05
307,Abapó,-63.47,-18.83,61.65,35.0,51.0,1.5
308,Berlevåg,29.09,70.86,44.13,82.0,81.0,7.83
309,Broome,-75.83,42.25,55.4,37.0,1.0,3.36
310,Amberley,-84.43,39.2,62.01,71.0,1.0,6.04
311,Dwārka,68.97,22.24,83.03,84.0,99.0,15.08
314,Muroto-misakicho,134.15,33.28,77.0,47.0,20.0,11.41
316,Marawi,124.29,8.0,82.0,75.0,97.0,3.0
317,Robertsport,-11.37,6.75,77.41,89.0,73.0,8.9
318,Hemnesberget,13.63,66.23,41.0,93.0,100.0,1.01
319,São Félix do Xingu,-51.99,-6.64,77.13,80.0,88.0,0.63
320,San Policarpo,125.51,12.18,83.46,79.0,100.0,6.29
322,Kawalu,108.21,-7.38,77.22,81.0,84.0,2.46
323,Ust'-Omchug,149.63,61.15,38.3,67.0,0.0,0.58
326,Nemuro,145.57,43.32,66.2,68.0,75.0,2.24
327,Sawtell,153.1,-30.38,79.0,88.0,32.0,10.29
329,Ahipara,173.17,-35.17,60.96,74.0,73.0,6.24
330,Jaruco,-82.01,23.04,82.4,78.0,20.0,9.17
331,Andenes,16.12,69.31,46.4,81.0,100.0,40.26
332,Saldanha,17.94,-33.01,46.4,75.0,0.0,3.36
333,Isangel,169.27,-19.55,77.0,73.0,75.0,8.05
334,Ndélé,20.65,8.41,70.45,97.0,100.0,4.45
335,Cabedelo,-34.83,-6.98,77.0,83.0,20.0,6.93
336,Port-Gentil,8.78,-0.72,75.51,87.0,100.0,14.79
337,Bambous Virieux,57.76,-20.34,70.0,73.0,40.0,12.75
338,Kutum,24.67,14.2,79.43,42.0,78.0,3.62
339,Havre-St-Pierre,-63.6,50.23,46.89,78.0,0.0,14.38
340,Contai,87.75,21.78,82.0,88.0,100.0,11.1
341,Ndendé,11.36,-2.4,73.8,83.0,100.0,2.98
342,Aubenas,4.39,44.62,64.0,93.0,6.0,1.9
343,Mount Isa,139.5,-20.73,80.6,54.0,100.0,5.82
345,Pangkalanbuun,111.62,-2.68,81.68,75.0,100.0,2.55
346,Kaura Namoda,6.58,12.59,74.64,84.0,97.0,1.74
347,Lagoa,-27.98,39.05,68.59,79.0,1.0,12.95
349,Sehithwa,22.72,-20.47,73.31,20.0,0.0,8.23
350,Stornoway,-6.39,58.21,55.99,93.0,100.0,17.22
351,Husavik,-17.34,66.04,37.4,69.0,75.0,6.93
352,Maragogi,-35.22,-9.01,75.49,84.0,0.0,11.59
353,Vallenar,-70.76,-28.57,64.06,43.0,0.0,1.9
354,San Quintín,-115.95,30.48,72.55,70.0,0.0,13.11
355,Omsukchan,155.8,62.53,36.99,73.0,0.0,0.43
356,Port Hardy,-127.42,50.7,57.2,82.0,75.0,4.7
357,Hirara,125.28,24.8,82.4,65.0,40.0,11.41
358,Ereymentau,73.1,51.62,41.85,74.0,52.0,13.18
359,Samaná,-69.34,19.21,82.4,83.0,75.0,2.64
360,Chilliwack,-121.94,49.17,69.8,60.0,90.0,9.17
361,Toora-Khem,96.11,52.47,44.92,70.0,0.0,1.23
362,Baiyin,104.21,36.56,51.8,93.0,75.0,2.24
363,Sibu,111.82,2.3,77.0,94.0,40.0,4.7
364,Livingston,-3.52,55.9,55.0,81.0,90.0,10.29
365,Lüderitz,15.16,-26.65,66.99,27.0,0.0,11.32
366,Saint George,-113.58,37.1,87.01,34.0,40.0,23.04
367,Stephenville,-98.2,32.22,69.8,83.0,90.0,11.41
368,Amazar,120.88,53.86,46.27,83.0,100.0,5.37
369,Swift Current,-107.8,50.28,68.0,40.0,1.0,11.41
370,Lajeado,-51.96,-29.47,52.0,82.0,0.0,1.01
371,Borova,30.1,50.18,48.2,87.0,0.0,5.3
372,Palmares do Sul,-50.51,-30.26,50.52,76.0,0.0,5.53
374,Kirakira,161.92,-10.45,84.76,67.0,100.0,7.52
375,Pacific Grove,-121.92,36.62,69.01,91.0,34.0,1.99
376,Marzuq,46.47,14.4,76.35,19.0,60.0,2.42
377,Wonthaggi,145.59,-38.6,61.0,63.0,60.0,22.66
378,North Branch,-92.98,45.51,66.99,82.0,40.0,7.23
380,Narsaq,-46.05,60.92,35.6,69.0,94.0,3.36
381,Cayenne,-52.33,4.93,80.6,88.0,0.0,5.82
382,Lac du Bonnet,-96.06,50.25,64.0,99.0,87.0,7.0
383,Puerto Madero,-92.42,14.72,82.4,88.0,75.0,3.36
384,Pāsighāt,95.33,28.07,76.41,86.0,100.0,1.54
385,Doha,51.53,25.29,87.8,84.0,0.0,4.7
386,Kurumkan,110.3,54.3,43.63,63.0,28.0,2.64
387,Manta,-80.73,-0.95,73.4,83.0,75.0,10.29
388,Kumluca,30.29,36.37,76.89,59.0,0.0,2.75
389,Laguna,-121.42,38.42,91.4,24.0,1.0,4.7
390,Kem',34.58,64.96,46.42,71.0,0.0,20.27
391,Kayseri Province,35.5,38.74,57.2,76.0,20.0,5.82
392,Yabluniv,24.94,48.4,54.46,72.0,0.0,2.8
393,Seinäjoki,22.83,62.79,54.0,76.0,89.0,3.36
394,Koumra,17.55,8.91,71.55,96.0,100.0,3.85
395,Kaitangata,169.85,-46.28,61.54,51.0,100.0,8.48
396,Sterling,-77.43,39.01,53.01,66.0,1.0,4.7
397,Tomé,-72.95,-36.62,53.6,81.0,100.0,12.75
398,Kathu,98.33,7.92,82.99,94.0,20.0,2.24
399,Sobolevo,31.9,54.43,49.5,93.0,64.0,8.41
400,Maţāy,30.78,28.42,75.81,49.0,0.0,8.28
401,Kysyl-Syr,122.76,63.9,51.78,57.0,0.0,3.02
403,Iguatemi,-54.56,-23.68,61.56,62.0,7.0,1.81
404,Zavetnoye,43.89,47.12,45.21,56.0,0.0,3.11
405,Port Lincoln,135.87,-34.73,57.63,66.0,66.0,23.85
406,Brookings,-96.8,44.31,75.2,53.0,1.0,5.82
407,Unity,-109.17,52.45,63.59,50.0,100.0,6.2
408,Lata,-8.33,40.16,64.0,86.0,100.0,0.81
409,Port Shepstone,30.45,-30.74,59.14,68.0,0.0,9.51
410,Moose Factory,-80.61,51.26,64.4,52.0,1.0,20.8
412,Zhangye,100.45,38.93,57.36,61.0,0.0,1.92
413,Potiskum,11.07,11.71,72.88,84.0,97.0,6.15
414,Peterhead,-1.8,57.51,55.0,81.0,100.0,2.24
415,Biltine,20.92,14.53,86.72,43.0,94.0,7.63
416,Omboué,9.26,-1.57,74.39,85.0,100.0,8.61
417,Banda Aceh,95.32,5.56,82.4,67.0,100.0,3.8
418,Simnas,23.65,54.4,51.8,81.0,3.0,5.82
419,Silifke,33.93,36.38,74.75,55.0,0.0,4.38
420,Otaru,141.0,43.19,60.8,87.0,40.0,8.05
422,Bourail,165.48,-21.57,78.89,44.0,0.0,5.32
423,Shamary,58.22,57.34,36.82,96.0,100.0,2.84
426,San Cristobal,-72.22,7.77,66.72,87.0,91.0,2.93
427,Obo,26.49,5.4,67.37,96.0,1.0,2.8
428,Antalaha,50.28,-14.9,70.52,87.0,50.0,7.81
430,Abhā,42.51,18.22,66.2,20.0,1.0,2.28
431,Severo-Yeniseyskiy,93.04,60.37,44.46,78.0,100.0,10.49
432,Sinjār,41.88,36.32,74.07,25.0,0.0,3.8
433,Buala,159.59,-8.14,85.5,66.0,100.0,7.18
434,Bria,21.99,6.54,68.54,95.0,65.0,1.36
435,Avera,-82.53,33.19,60.8,82.0,1.0,3.36
436,Chulym,80.96,55.1,45.19,63.0,100.0,9.64
438,Pychas,52.44,56.5,43.0,93.0,90.0,1.01
439,Rovaniemi,25.72,66.5,42.8,60.0,0.0,14.99
440,Ngunguru,174.5,-35.62,62.01,74.0,37.0,8.01
441,Namatanai,152.43,-3.67,84.38,69.0,44.0,7.47
442,Mount Gambier,140.77,-37.83,53.6,87.0,75.0,20.8
443,Morant Bay,-76.41,17.88,78.01,94.0,40.0,12.75
444,Inírida,-67.92,3.87,78.37,81.0,48.0,2.37
445,Porto-Novo,2.6,6.5,80.6,83.0,40.0,13.87
446,Lichuan,108.85,30.3,58.8,98.0,100.0,2.59
447,Rundu,19.77,-17.93,70.72,24.0,77.0,4.63
450,Portland,-122.68,45.52,75.0,53.0,75.0,4.7
451,Los Corrales de Buelna,-4.07,43.26,62.01,99.0,2.0,3.2
454,Buraidah,43.98,26.33,84.2,23.0,0.0,9.17
456,Lorengau,147.27,-2.02,84.74,76.0,2.0,9.66
457,Tagbac,125.16,7.09,86.0,74.0,75.0,2.24
458,Tambura,27.47,5.6,67.62,94.0,8.0,1.32
459,Sosnovo-Ozerskoye,111.54,52.52,39.11,74.0,31.0,4.36
460,Ierapetra,25.74,35.01,73.0,66.0,1.0,11.01
461,Jining,116.58,35.41,70.68,63.0,61.0,2.51
462,Fort Nelson,-122.7,58.81,59.0,41.0,20.0,4.7
463,Seoul,126.98,37.57,68.0,52.0,1.0,4.7
465,Kostelec nad Černými Lesy,14.86,49.99,55.4,76.0,0.0,4.7
466,Salalah,54.09,17.02,80.6,88.0,75.0,5.82
468,Udachny,112.4,66.42,44.6,61.0,0.0,2.24
469,Östersund,14.64,63.18,42.8,87.0,100.0,10.29
470,Honiara,159.95,-9.43,87.8,62.0,75.0,3.36
471,Itaituba,-55.98,-4.28,76.69,75.0,64.0,2.3
472,Sola,167.55,-13.88,84.2,79.0,90.0,5.82
473,Kamenka,42.77,51.32,44.01,68.0,100.0,7.38
